RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4003,15811486,Tang,634,Germany,Female,29.0,8,130036.21,2,0.0,1.0,69849.55,0
4004,15626141,Fedorov,750,France,Female,26.0,1,151510.17,2,1.0,1.0,19921.72,0
4005,15738546,Gboliwe,530,Spain,Female,41.0,4,0.0,2,0.0,1.0,147606.71,0
4006,15677052,Ko,589,France,Female,59.0,2,0.0,2,1.0,1.0,126160.24,1
4007,15656454,Le Gallienne,654,France,Male,37.0,6,83568.55,1,1.0,0.0,47046.72,0
4008,15645496,Seleznyova,648,France,Female,43.0,7,139972.18,1,1.0,0.0,143668.58,0
4009,15612505,Joseph,835,Spain,Male,45.0,3,100212.13,1,1.0,0.0,152577.62,0
4010,15708513,Bevan,446,France,Female,39.0,1,90217.07,1,1.0,0.0,191350.48,0
4011,15685654,Allan,514,Spain,Male,66.0,9,0.0,2,1.0,1.0,14234.31,0
4012,15732307,Lavrentiev,694,Germany,Male,33.0,4,124067.32,1,1.0,1.0,77906.87,0
4013,15726814,Walton,554,Spain,Male,46.0,4,0.0,2,0.0,1.0,57320.92,0
4014,15653776,Salier,720,Germany,Female,57.0,1,162082.31,4,0.0,0.0,27145.73,1
4015,15597914,Evdokimov,641,Germany,Female,51.0,2,117306.69,4,1.0,1.0,26912.72,1
4016,15631603,Ponomaryova,813,France,Male,32.0,1,122889.88,1,1.0,1.0,26476.18,0
4017,15789753,Millar,480,France,Male,40.0,6,148790.61,1,0.0,1.0,79329.7,0
4018,15678034,Grosse,811,France,Male,46.0,9,180226.24,1,1.0,0.0,13464.64,1
4019,15690209,Hsiao,715,Germany,Female,32.0,3,104857.19,2,1.0,0.0,114149.8,0
4020,15592091,Belbin,620,Spain,Male,31.0,2,166833.86,2,1.0,1.0,135171.6,0
4021,15647453,Ifeajuna,721,France,Male,42.0,4,102936.72,1,0.0,0.0,1187.88,0
4022,15697100,Wright,772,Germany,Female,48.0,6,108736.52,1,1.0,0.0,184564.67,1
4023,15811290,Komarova,680,Germany,Male,44.0,0,129974.79,2,1.0,1.0,33391.38,0
4024,15629187,Titheradge,535,France,Male,38.0,8,85982.07,1,1.0,0.0,9238.35,0
4025,15758073,Dellucci,655,France,Female,20.0,7,134397.61,1,0.0,0.0,28029.54,0
4026,15640769,Hobbs,660,France,Male,63.0,8,137841.53,1,1.0,1.0,42790.29,0
4027,15606641,Beggs,762,Germany,Male,56.0,10,100260.88,3,1.0,1.0,77142.42,1
4028,15718280,Luffman,662,Germany,Male,39.0,5,139822.11,2,1.0,1.0,146219.9,0
4029,15764335,Caldwell,463,Germany,Female,41.0,8,123151.51,2,1.0,0.0,70127.93,0
4030,15634218,Mancini,501,Germany,Male,27.0,4,95331.83,2,1.0,0.0,132104.76,0
