RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4821,15694209,Fanucci,484,France,Female,32.0,3,0.0,2,1.0,1.0,139390.99,0
,15655875,Thao,511,France,Female,33.0,3,0.0,2,1.0,INVALID,132436.71,0
4823,15805704,Murphy,745,France,Female,32.0,99999,0.0,not_a_number,0.0,1.0,179705.13,1
4824,15744789,McConnell,786,Spain,Female,32.0,6,114512.59,1,1.0,0.0,15796.66,0
4825,15799357,Armfield,727,France,Male,35.0,5,136364.46,1,0.0,0.0,142754.71,0
4826,15726153,Fanucci,622,France,Male,31.0,5,106260.67,1,1.0,1.0,2578.43,0
4827,15713346,Panina,794,France,Male,24.0,10,146126.75,1,1.0,1.0,88992.05,0
4828,15665053,Nixon,636,Spain,Male,52.0,4,111284.53,1,0.0,1.0,32936.44,1
4829,15592379,Walker,741,Spain,Female,42.0,9,121056.63,2,1.0,0.0,39122.58,0
4830,15692599,Chiemela,687,France,Male,34.0,5,128270.56,1,1.0,0.0,191092.62,0
